,因子名称,Factor1,Factor2
Construction (ISIC F),Factor1,0.8185106093057956,
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor1,0.7754738130567636,
Gross capital formation,Factor1,0.7666702384614245,
"Transport, storage and communication (ISIC I)",Factor1,0.7485032297350243,
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor1,0.7354274928175539,
Total Value Added,Factor1,0.7298678747403888,
Other Activities (ISIC J-P),Factor1,0.7297661206518169,
Gross National Income(GNI) in USD,Factor1,0.7284860035273018,
Household consumption expenditure (including Non-profit institutions serving households),Factor1,0.7273812256630455,
Final consumption expenditure,Factor1,0.7235132500908948,
Per capita GNI,Factor1,0.7202406218009537,
Manufacturing (ISIC D),Factor1,0.7051144414282079,
General government final consumption expenditure,Factor1,0.7019733392309976,
Population,Factor1,0.6915894501315699,
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor1,0.6773743749653941,
Imports of goods and services,Factor1,0.6757897984673574,
Exports of goods and services,Factor1,0.635790141223651,
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor1,0.5487912733940481,
"Agriculture, hunting, forestry, fishing (ISIC A-B)",Factor2,,0.8154768555343035
Exports of goods and services,Factor2,,0.7603125395591042
"Mining, Manufacturing, Utilities (ISIC C-E)",Factor2,,0.7278350027567718
Imports of goods and services,Factor2,,0.725558049026293
Population,Factor2,,0.7071187364953697
General government final consumption expenditure,Factor2,,0.7060144359096412
Manufacturing (ISIC D),Factor2,,0.6923205205725791
Per capita GNI,Factor2,,0.691764140480703
Final consumption expenditure,Factor2,,0.6886099244109284
Household consumption expenditure (including Non-profit institutions serving households),Factor2,,0.684745330431189
Gross National Income(GNI) in USD,Factor2,,0.6837772321387409
Total Value Added,Factor2,,0.682655621586821
Other Activities (ISIC J-P),Factor2,,0.6804445161540332
"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",Factor2,,0.6763817219612192
"Transport, storage and communication (ISIC I)",Factor2,,0.6546228387989677
Gross capital formation,Factor2,,0.6384853524282473
Gross fixed capital formation (including Acquisitions less disposals of valuables),Factor2,,0.6295091947599427
Construction (ISIC F),Factor2,,0.5660566459312971
